Repository,PR Number,Status,Files Changed,Additions,Deletions,Analysis Time (hours),Description Length,Participants,Comments
freeCodeCamp/freeCodeCamp,9469,MERGED,8,352,84,2163.1697222222224,472,11,31
freeCodeCamp/freeCodeCamp,9660,CLOSED,17,528,329,10044.525,770,7,42
freeCodeCamp/freeCodeCamp,9793,MERGED,1,80,0,156.73666666666668,2238,5,8
freeCodeCamp/freeCodeCamp,10341,MERGED,1,1,1,1134.683611111111,2457,7,17
freeCodeCamp/freeCodeCamp,10390,CLOSED,1,77,0,710.8961111111112,2027,5,5
freeCodeCamp/freeCodeCamp,10503,MERGED,1,1,1,463.4888888888889,2026,4,3
freeCodeCamp/freeCodeCamp,10711,MERGED,1,48,11,384.3688888888889,0,4,5
freeCodeCamp/freeCodeCamp,10751,MERGED,3,8,4,366.28305555555556,855,6,3
freeCodeCamp/freeCodeCamp,10762,CLOSED,1,1,1,7.200277777777778,195,5,3
freeCodeCamp/freeCodeCamp,10775,MERGED,1,1,1,7.691388888888889,1900,3,1
freeCodeCamp/freeCodeCamp,10811,MERGED,1,1,0,603.12,1973,5,22
freeCodeCamp/freeCodeCamp,10818,MERGED,1,2230,2079,7.197777777777778,2419,2,1
freeCodeCamp/freeCodeCamp,10823,MERGED,2,7,1,467.2891666666667,473,8,36
freeCodeCamp/freeCodeCamp,10824,MERGED,3,73,0,861.3336111111112,2316,7,23
freeCodeCamp/freeCodeCamp,10853,MERGED,1,1,1,357.0833333333333,190,7,10
freeCodeCamp/freeCodeCamp,10854,MERGED,1,1,0,584.3202777777777,1759,5,4
freeCodeCamp/freeCodeCamp,10860,MERGED,1,1,1,23.363611111111112,1906,5,7
freeCodeCamp/freeCodeCamp,10866,CLOSED,6,250,3,1022.6644444444445,2312,4,12
freeCodeCamp/freeCodeCamp,10886,MERGED,2,13,5,73.00416666666666,139,3,0
freeCodeCamp/freeCodeCamp,10918,MERGED,3,563,488,15.623333333333333,1906,4,6
freeCodeCamp/freeCodeCamp,10929,MERGED,1,5,1,479.77555555555557,1896,4,8
freeCodeCamp/freeCodeCamp,10950,MERGED,2,8,7,12.131666666666666,44,1,0
freeCodeCamp/freeCodeCamp,10957,MERGED,2,109,27,696.2502777777778,2322,8,22
freeCodeCamp/freeCodeCamp,10975,MERGED,1,1,1,8.360555555555555,2319,2,2
freeCodeCamp/freeCodeCamp,10993,MERGED,1,287,159,4.2775,1783,2,0
freeCodeCamp/freeCodeCamp,10995,MERGED,1,1,1,1.7505555555555556,1939,2,2
freeCodeCamp/freeCodeCamp,11001,CLOSED,1,131,99,12.254722222222222,2132,3,3
freeCodeCamp/freeCodeCamp,11028,MERGED,1,53,0,44.695277777777775,2018,4,5
freeCodeCamp/freeCodeCamp,11032,MERGED,1,1,1,9.773055555555555,1943,3,1
freeCodeCamp/freeCodeCamp,11058,MERGED,25,770,359,2741.6052777777777,0,6,50
freeCodeCamp/freeCodeCamp,11087,MERGED,7,42,39,57.93222222222222,111,1,0
freeCodeCamp/freeCodeCamp,11100,MERGED,1,151,90,117.9713888888889,1138,5,4
freeCodeCamp/freeCodeCamp,11121,MERGED,1,2,2,1.773611111111111,69,2,3
freeCodeCamp/freeCodeCamp,11126,MERGED,1,2,2,3.359722222222222,1916,3,4
freeCodeCamp/freeCodeCamp,11138,MERGED,1,2,2,3.5972222222222223,984,3,2
freeCodeCamp/freeCodeCamp,11144,MERGED,1,2,2,6.387222222222222,2169,2,0
freeCodeCamp/freeCodeCamp,11148,MERGED,1,1,1,32.61527777777778,2074,6,8
freeCodeCamp/freeCodeCamp,11166,CLOSED,1,4,8,28.662222222222223,2154,4,6
freeCodeCamp/freeCodeCamp,11172,MERGED,1,1,1,69.93555555555555,2841,5,8
freeCodeCamp/freeCodeCamp,11190,MERGED,1,21,0,22.86,1901,3,6
freeCodeCamp/freeCodeCamp,11197,MERGED,1,1,1,11.375833333333333,2008,3,2
freeCodeCamp/freeCodeCamp,11202,CLOSED,6,71,11,8.160277777777777,1998,4,7
freeCodeCamp/freeCodeCamp,11209,MERGED,1,2,2,2.242777777777778,1971,3,1
freeCodeCamp/freeCodeCamp,11211,MERGED,1,1,1,1.7425,2360,3,1
freeCodeCamp/freeCodeCamp,11219,MERGED,4,12,36,481.1636111111111,0,4,10
freeCodeCamp/freeCodeCamp,11225,MERGED,1,1,0,93.51388888888889,2056,6,11
freeCodeCamp/freeCodeCamp,11236,CLOSED,5,45,6,27.166944444444443,1750,2,1
freeCodeCamp/freeCodeCamp,11244,MERGED,1,4,7,93.68583333333333,2530,3,4
freeCodeCamp/freeCodeCamp,11251,MERGED,12,146,90,1416.2375,1986,4,24
freeCodeCamp/freeCodeCamp,11253,MERGED,9,176,18,1176.9544444444443,1970,7,28
freeCodeCamp/freeCodeCamp,11290,MERGED,1,1,1,9.814166666666667,1959,3,0
freeCodeCamp/freeCodeCamp,11306,MERGED,1,1,1,774.0072222222223,2055,4,5
freeCodeCamp/freeCodeCamp,11308,MERGED,1,4,4,65.27416666666667,1962,5,4
freeCodeCamp/freeCodeCamp,11318,CLOSED,1,1,1,1727.9447222222223,2319,6,15
freeCodeCamp/freeCodeCamp,11322,MERGED,6,99,39,1850.4711111111112,1955,4,15
freeCodeCamp/freeCodeCamp,11327,MERGED,1,9,0,80.07944444444445,1671,5,7
freeCodeCamp/freeCodeCamp,11353,MERGED,1,2,0,70.65833333333333,1939,4,8
freeCodeCamp/freeCodeCamp,11359,MERGED,1,1,1,61.31111111111111,2068,4,3
freeCodeCamp/freeCodeCamp,11361,CLOSED,1,1,1,284.4658333333333,5804,4,14
freeCodeCamp/freeCodeCamp,11363,MERGED,1,1,0,63.61083333333333,2150,4,3
freeCodeCamp/freeCodeCamp,11366,MERGED,1,4,4,54.83833333333333,2052,3,1
freeCodeCamp/freeCodeCamp,11371,MERGED,1,8,5,45.97805555555556,2199,4,6
freeCodeCamp/freeCodeCamp,11377,MERGED,1,10,0,32.79527777777778,2025,4,3
freeCodeCamp/freeCodeCamp,11425,MERGED,2,13,0,107.60666666666667,1902,6,17
freeCodeCamp/freeCodeCamp,11429,MERGED,1,1,1,3.232222222222222,320,4,0
freeCodeCamp/freeCodeCamp,11446,MERGED,1,7,7,584.4627777777778,2220,5,6
freeCodeCamp/freeCodeCamp,11467,MERGED,34,0,5174,13.330277777777777,114,2,0
freeCodeCamp/freeCodeCamp,11469,MERGED,1,6,0,13.193888888888889,1886,2,7
freeCodeCamp/freeCodeCamp,11472,MERGED,1,10,0,109.47416666666666,2015,3,3
freeCodeCamp/freeCodeCamp,11474,MERGED,15,50,85,2876.7091666666665,2258,4,23
freeCodeCamp/freeCodeCamp,11478,MERGED,1,17,17,162.0247222222222,2051,5,8
freeCodeCamp/freeCodeCamp,11482,CLOSED,32,753,460,3942.1672222222223,369,8,21
freeCodeCamp/freeCodeCamp,11490,MERGED,1,1,1,25.122222222222224,3998,4,0
freeCodeCamp/freeCodeCamp,11545,MERGED,4,55,8,564.9705555555555,2150,5,15
freeCodeCamp/freeCodeCamp,11549,MERGED,1,1,0,1.4975,1952,2,0
freeCodeCamp/freeCodeCamp,11562,MERGED,2,3,1,299.27972222222223,1915,7,10
freeCodeCamp/freeCodeCamp,11572,MERGED,1,2,1,12.18388888888889,1995,2,0
freeCodeCamp/freeCodeCamp,11578,MERGED,1,1,1,15.360555555555555,3014,3,2
freeCodeCamp/freeCodeCamp,11633,MERGED,3,30,35,125.23555555555555,1930,3,3
freeCodeCamp/freeCodeCamp,11634,MERGED,1,2,2,4.169722222222222,1348,2,0
freeCodeCamp/freeCodeCamp,11637,MERGED,5,20,51,9.053055555555556,2063,2,0
freeCodeCamp/freeCodeCamp,11640,MERGED,1,1,4,3.7880555555555557,60,3,2
freeCodeCamp/freeCodeCamp,11695,MERGED,1,4,4,5.391944444444444,2284,4,1
freeCodeCamp/freeCodeCamp,11711,MERGED,5,1502,957,998.6477777777778,2377,6,4
freeCodeCamp/freeCodeCamp,11718,MERGED,1,4,2,127.94972222222222,3778,4,16
freeCodeCamp/freeCodeCamp,11723,CLOSED,2,65,1,763.2719444444444,2310,5,9
freeCodeCamp/freeCodeCamp,11737,MERGED,1,1,1,213.10583333333332,1985,6,11
freeCodeCamp/freeCodeCamp,11747,CLOSED,2,2,2,15.410833333333333,1913,4,2
freeCodeCamp/freeCodeCamp,11754,CLOSED,1,1,1,51.57555555555555,4905,3,3
freeCodeCamp/freeCodeCamp,11784,MERGED,3,66,71,1008.4877777777778,2144,3,12
